"id","Status_Final","Rank_Valid","Prop_Sens_A_OK","Prop_Sens_B_OK","Prop_Sens_AB_OK","Prop_Sens_C_Reject","Prop_Info_B_OK","Prop_Info_A_Reject","Mean_Sens_A","Mean_Sens_B","Mean_Sens_AB","Mean_Sens_C","Mean_Info_A","Mean_Info_B","Mean_Info_C","Information_Contrast_B_A","Semantic_Contrast_AB_C","Total_Prop_Visual_Error","Prop_Visual_Error_A","Prop_Visual_Error_B","Prop_Visual_Error_C","Mean_Visual_A","Mean_Visual_B","Mean_Visual_C"
32,"Selected_Tier_2",41,0.818181818181818,0.863636363636364,0.840909090909091,0.833333333333333,0.909090909090909,0.590909090909091,5.45454545454545,5.72727272727273,5.59090909090909,1.56666666666667,3.04545454545455,6.09090909090909,1.66666666666667,3.04545454545455,4.02424242424242,0.0810810810810811,0.0454545454545455,0.0454545454545455,0.133333333333333,6.5,6.72727272727273,5.96666666666667
128,"Selected_Tier_2",42,0.931034482758621,1,0.962264150943396,0.857142857142857,0.833333333333333,0.586206896551724,6.06896551724138,6.875,6.43396226415094,1.38095238095238,3,6.04166666666667,1.33333333333333,3.04166666666667,5.05300988319856,0.0540540540540541,0,0,0.19047619047619,6.86206896551724,6.91666666666667,5.71428571428571
117,"Selected_Tier_2",43,0.96,0.620689655172414,0.777777777777778,0.958333333333333,0.758620689655172,0.76,6.76,4.48275862068965,5.53703703703704,1.29166666666667,2.6,5.58620689655172,1.125,2.98620689655172,4.24537037037037,0.205128205128205,0,0.0689655172413793,0.583333333333333,6.76,6.13793103448276,4.125
73,"Selected_Tier_2",44,0.954545454545455,1,0.977777777777778,1,0.869565217391304,0.545454545454545,6.68181818181818,6.56521739130435,6.62222222222222,1.04,3.45454545454545,6.43478260869565,1.2,2.9802371541502,5.58222222222222,0.242857142857143,0.0454545454545455,0.0434782608695652,0.6,6.72727272727273,6.8695652173913,3.48
107,"Selected_Tier_2",45,1,1,1,0.933333333333333,0.863636363636364,0.681818181818182,6.86363636363636,6.22727272727273,6.54545454545455,1.5,3.04545454545455,6,1.86666666666667,2.95454545454545,5.04545454545455,0.0135135135135135,0,0,0.0333333333333333,7,6.63636363636364,6.76666666666667
148,"Selected_Tier_2",46,0.966666666666667,0.826086956521739,0.905660377358491,0.863636363636364,0.826086956521739,0.633333333333333,6.73333333333333,5.73913043478261,6.30188679245283,1.54545454545455,2.86666666666667,5.78260869565217,1.77272727272727,2.91594202898551,4.75643224699829,0.213333333333333,0.0333333333333333,0.173913043478261,0.5,6.76666666666667,6.17391304347826,4.59090909090909
119,"Selected_Tier_2",47,0.966666666666667,0.91304347826087,0.943396226415094,0.818181818181818,0.739130434782609,0.666666666666667,6.63333333333333,6,6.35849056603774,1.59090909090909,2.8,5.69565217391304,1.90909090909091,2.89565217391304,4.76758147512864,0.173333333333333,0.0333333333333333,0.0869565217391304,0.454545454545455,6.63333333333333,6.52173913043478,4.72727272727273
82,"Selected_Tier_2",48,0.956521739130435,0.96,0.958333333333333,0.758620689655172,0.96,0.521739130434783,6.73913043478261,6.24,6.47916666666667,1.79310344827586,3.52173913043478,6.4,1.68965517241379,2.87826086956522,4.6860632183908,0.181818181818182,0,0,0.482758620689655,6.82608695652174,6.72,4.3448275862069
54,"Selected_Tier_2",49,0.956521739130435,0.8,0.875,0.862068965517241,0.8,0.695652173913043,6.30434782608696,5.24,5.75,1.3448275862069,2.65217391304348,5.52,1.3448275862069,2.86782608695652,4.4051724137931,0.038961038961039,0.0869565217391304,0,0.0344827586206897,6.34782608695652,6.84,6.75862068965517
51,"Selected_Tier_2",50,0.909090909090909,0.727272727272727,0.818181818181818,0.866666666666667,0.727272727272727,0.727272727272727,6.13636363636364,5.04545454545455,5.59090909090909,1.56666666666667,2.72727272727273,5.59090909090909,1.86666666666667,2.86363636363636,4.02424242424242,0.108108108108108,0.0454545454545455,0.0454545454545455,0.2,6.63636363636364,6.77272727272727,6
21,"Selected_Tier_2",51,0.909090909090909,0.954545454545455,0.931818181818182,0.933333333333333,0.818181818181818,0.681818181818182,6.27272727272727,6.18181818181818,6.22727272727273,1.26666666666667,2.90909090909091,5.77272727272727,1.3,2.86363636363636,4.96060606060606,0.108108108108108,0.0454545454545455,0,0.233333333333333,6.59090909090909,6.95454545454545,5.53333333333333
31,"Selected_Tier_2",52,0.875,0.952380952380952,0.911111111111111,0.909090909090909,0.714285714285714,0.708333333333333,5.66666666666667,5.57142857142857,5.62222222222222,1.54545454545455,2.5,5.33333333333333,1.22727272727273,2.83333333333333,4.07676767676768,0.0447761194029851,0.0833333333333333,0,0.0454545454545455,6.41666666666667,6.42857142857143,6.59090909090909
43,"Selected_Tier_2",53,0.96551724137931,1,0.981132075471698,1,0.916666666666667,0.551724137931034,6.58620689655172,6.91666666666667,6.73584905660377,1.04761904761905,3.58620689655172,6.41666666666667,1.52380952380952,2.83045977011494,5.68823000898473,0.0540540540540541,0,0,0.19047619047619,6.96551724137931,6.95833333333333,5.90476190476191
57,"Selected_Tier_2",54,0.863636363636364,0.954545454545455,0.909090909090909,0.733333333333333,0.863636363636364,0.545454545454545,5.63636363636364,6.31818181818182,5.97727272727273,1.93333333333333,3.31818181818182,6.13636363636364,2.4,2.81818181818182,4.04393939393939,0.027027027027027,0.0454545454545455,0,0.0333333333333333,6.68181818181818,6.86363636363636,6.8
103,"Selected_Tier_2",55,1,0.909090909090909,0.955555555555556,1,0.818181818181818,0.652173913043478,7,6.09090909090909,6.55555555555556,1.04347826086957,2.82608695652174,5.63636363636364,1.30434782608696,2.8102766798419,5.51207729468599,0.0882352941176471,0.0434782608695652,0.0909090909090909,0.130434782608696,6.73913043478261,6.04545454545455,6.1304347826087
