Item,Condition,Semantic_Score,Info_Score,Mean_Visual_Error
82,a,6.73913043478261,3.52173913043478,6.82608695652174
57,c,1.93333333333333,2.4,6.8
96,a,6.32,2.6,6.64
21,a,6.27272727272727,2.90909090909091,6.59090909090909
148,a,6.73333333333333,2.86666666666667,6.76666666666667
150,a,6.13636363636364,2.95454545454545,6.68181818181818
75,b,5.5,6.27272727272727,6.63636363636364
146,c,1.56521739130435,1.95652173913043,5.17391304347826
11,b,5.51724137931035,5.6551724137931,6.79310344827586
74,b,6.91304347826087,6.52173913043478,6.39130434782609
56,a,5.26086956521739,2.69565217391304,6.78260869565217
71,c,1.44,1.6,4.24
125,c,1.33333333333333,1.25,6.16666666666667
61,c,1.18181818181818,1.5,5.63636363636364
66,b,3.73913043478261,3.82608695652174,5.52173913043478
30,c,1.47619047619048,1.47619047619048,4.80952380952381
71,b,4.60869565217391,5.21739130434783,6.47826086956522
20,c,1.59090909090909,1.72727272727273,5.54545454545455
92,c,1.43478260869565,1.1304347826087,5.95652173913043
38,b,5.68965517241379,4.68965517241379,5.82758620689655
14,b,5.20833333333333,5.83333333333333,6.375
100,c,1.0,1.0,4.0
43,c,1.04761904761905,1.52380952380952,5.90476190476191
6,c,2.66666666666667,2.875,6.375
109,b,5.40909090909091,5.31818181818182,6.59090909090909
110,a,6.63636363636364,3.36363636363636,6.81818181818182
40,c,1.14285714285714,1.19047619047619,6.14285714285714
75,c,1.72727272727273,2.5,5.90909090909091
135,a,6.76666666666667,4.13333333333333,7.0
119,a,6.63333333333333,2.8,6.63333333333333
121,b,6.58620689655172,6.37931034482759,6.6551724137931
105,a,6.71428571428571,3.42857142857143,6.85714285714286
122,a,5.95652173913043,3.43478260869565,6.82608695652174
41,c,1.54545454545455,1.63636363636364,6.40909090909091
140,a,6.30434782608696,2.78260869565217,6.73913043478261
73,b,6.56521739130435,6.43478260869565,6.8695652173913
56,b,6.68,6.12,6.84
54,a,6.30434782608696,2.65217391304348,6.34782608695652
2,c,1.77272727272727,2.0,6.09090909090909
150,c,1.46666666666667,1.43333333333333,6.03333333333333
104,a,5.73333333333333,3.63333333333333,6.43333333333333
